"date","pool_bech32","ticker","handshake","rtt_ms","blocks"
"2026-09-07","pool1zm5qw9r7fz25t2epjgvzynsj3gp5puxcwy7363zy3265ujndfaw","","f","","1215"
"2026-09-07","pool1alseugmsr68dn8mlen92jqgdc6nm4f3dvqyc8m55fgl967ytyua","","f","","1120"
"2026-09-07","pool1m6awcstjzafepr5dwan54gemvh4y8dlvmqjtpwxsa7uqurcuq0l","","f","","1160"
"2026-09-07","pool1c3f370yr063cpzpdapsdyqye8dutrztqjfhrug8dr3uj7d50375","","f","","1173"
"2026-09-07","pool1qcvvyev6gdhdnggvypta045l0vtruawayq6gap29a99c755k8nm","","f","","1169"
"2026-09-07","pool19tz0rwsnzmsw602rauwhzrsgk4qx55qzhkmxfqe04s6vuu37ptw","","f","","1169"
"2026-09-07","pool16pfjyderm8gvzfpcrlk9xunhjetcp4w20g73gzzrvsgncte60e4","","f","","1182"
"2026-09-07","pool1nc4tjhmg9m2rmhq5thyvn9nvayy28dt0z7h5erhlfw6pzj9usfn","","f","","1125"
"2026-09-07","pool1fkjfa9yuu844hyg7yagvjr9u7texse7dcdhe75c6lta0xqpgqgk","","f","","1189"
"2026-09-07","pool1v6p29tne9m7773lw2da65qn3e58r64np0k5fj8sxns82g85j03g","","f","","1148"
"2026-09-07","pool1m42um4nhc654jyjasdk6mu4q38yf3qcswqcr4q2ysc6sjhyve9n","","f","","1136"
"2026-09-07","pool1vevcjr87ce94hny28ra8yj5jjgalcqdhqs5xd44ru6k0qr3dsq9","","f","","1167"
"2026-09-07","pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg","FIKA","f","","2073"
"2026-09-07","pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g","","f","","2076"
"2026-09-07","pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n","","f","","1289"
"2026-09-07","pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq","SECUR","f","","2001"
"2026-09-07","pool146s6wt66d069uqfvjh39qn0racde6pytzju7y4mykf88zc0dscz","","f","","692"
"2026-09-07","pool1nhlv5z2lsptzgcp9ype0mppc7zyndm66ypm4sw5hy27ewdchqx0","P2P3","f","","349"
"2026-09-07","pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx","PAUL1","f","","1739"
"2026-09-07","pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x","SECUR","f","","1657"
"2026-09-07","pool108zdflss3ayqlm5c7vr6mtqj2uwl99vk28ur8dv4zswdzt6yauc","AZUR","t","105.19","1331"
"2026-09-07","pool13qdkwy5y88ncr5qpjrh8hgtf94d0zw4wuhgezjg3hvlyyrh37c7","SECUR","f","","1123"
"2026-09-07","pool1dxwgzj66pual956mnv9delkelg873yvgr2dd8s279m0hxqvr475","APOP","f","","1539"
"2026-09-07","pool1cd6mgg8y98sq4cc7668xwwg0g6ln4z7r0gx0r5pfvjg9w8u0rc8","","f","","546"
"2026-09-07","pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc","SECUR","f","","1665"
"2026-09-07","pool1k8dm3fwajc6c8s32accfwqw8dqawl6k243z43cf74uxu7457z6l","","f","","597"
"2026-09-07","pool1v5u6wzakuc25q3zpx04t8gjz3rgu60wuxkv2mh5nga23xjkc86s","MOKSH","f","","1154"
"2026-09-07","pool1u6kpt8hgqcm596kukj97ghefmxn8ks2cgwg8qqe0gtgscnufk5p","ATLAS","f","","1203"
"2026-09-07","pool1lnr8t7pxvq3vfg8c5lc7yjcq39haws4ntu28xpxzx4zyya9ntny","KKS","f","","1027"
"2026-09-07","pool1qakys0fxx5p2fxcnsc2tyjpqa88q7qgtdh5t3a32hplv6fg25r9","DAPP","t","180.41","1176"
"2026-09-07","pool138m7hevnvp664cmtralju857t5k7e4frpnaevtgpuykggr50kne","ITC","f","","1032"
"2026-09-07","pool1zn9hjcmfddhcp2aj9xxuvz7z40rasyatkgavr8ryyz72qdfwtrj","PLUSH","f","","652"
"2026-09-07","pool14zdcvdec8qmqzsat5wg3a2h9f0u5yzrgjew534z8u3gs5durnjz","PAUL","f","","966"
"2026-09-07","pool1xru6f3fflzwkptgm68pncrsncg9ngllv0jk8jnz40m7wusfhazk","OASIS","f","","661"
"2026-09-07","pool1qqvukkkfr3ux4qylfkrky23f6trl2l6xjluv36z90ax7gfa8yxt","STAKE","t","1531.68","666"
"2026-09-07","pool1p9sjhjx0v3k76wvgdqu7jcks2ra48wqlhc6g0mkewd25k3zcymy","WA2","f","","668"
"2026-09-07","pool1psk0c2p7pwactw00nkzjexdw0msn7g8nddc06eyvds6yswr3tjg","ITC2","f","","615"
"2026-09-07","pool1m4enp55hp80tf6xl7k6f6593wnyu3pr83xfvef9x3ktdw9m0em5","AZUR2","t","181.26","633"
"2026-09-07","pool1cmk4xnegvtm7svgw5u0neg93640ytmssyr0tqngncwnf6c0kn4u","","f","","91"
"2026-09-07","pool16j3mvwws7zc9pjluyhddgea0tq647v0dh3y4nkcuckg9znjcun2","ITC3","f","","614"
"2026-09-07","pool1nwt6mxqus3tpzrshky5h5kykz9rjpxmacrvw0z6yak9uk5p5045","DNEWS","f","","592"
"2026-09-07","pool12hszgt63rau649xhfuy4mjmdukzpy0atyskd7hujl7zdxjv7e8c","","f","","86"
"2026-09-07","pool1hkklrx9ac7w57d79mnv76rxlgq4acg5ecwhyep7k3zn0u5cz2k9","AZUR3","t","180.74","543"
"2026-09-07","pool1mzcwrurfd3afzp0xz84423q8xxdxj0ju5h4sse73hx4msvqra9t","","f","","188"
